ObjectID,Title,Classification,Year,Epoch,Movement,Medium,ImageURL
19513.0,Seated Woman of the Mangue (Mulher do Mangue sentada) from Mangue,Print,1941,1940–1959 (Абстрактный экспрессионизм),Абстрактный экспрессионизм,"Woodcut from a portfolio with three woodcuts, one lithograph with hand additions and forty-two line block reproductions",https://www.moma.org/media/W1siZiIsIjE3MTA4MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b01abae1e2a26093
19514.0,Group from the Mangue (Grupo do Mangue) from Mangue,Print,1941,1940–1959 (Абстрактный экспрессионизм),Абстрактный экспрессионизм,"Woodcut from a portfolio with three woodcuts, one lithograph with hand additions and forty-two line block reproductions",https://www.moma.org/media/W1siZiIsIjE3MTA4NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=1928904bffbbebc6
19515.0,Women of the Mangue (Mulheres do Mangue) from Mangue,Print,1941,1940–1959 (Абстрактный экспрессионизм),Абстрактный экспрессионизм,"Lithograph with hand additions from a portfolio with three woodcuts, one lithograph with hand additions and forty-two line block reproductions",https://www.moma.org/media/W1siZiIsIjE3MTA4NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=8d3d408fa3aa70a4
19631.0,Plate (folio 4) from 10 Origin,Print,1942,1940–1959 (Абстрактный экспрессионизм),Абстрактный экспрессионизм,"Woodcut from a portfolio of six linoleum cuts, three woodcuts, and one lithograph",https://www.moma.org/media/W1siZiIsIjQ3NTU4MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e9e3f28a5b24f579
19632.0,10 Origin,Print,1942,1940–1959 (Абстрактный экспрессионизм),Абстрактный экспрессионизм,"Portfolio of six linoleum cuts, three woodcuts, and one lithograph",https://www.moma.org/media/W1siZiIsIjQ3NTQzOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=4a3f9928d6b1fbd8
19633.0,Plate (folio 22) from 10 Origin,Print,1942,1940–1959 (Абстрактный экспрессионизм),Абстрактный экспрессионизм,"Linoleum cut from a portfolio of six linoleum cuts, three woodcuts, and one lithograph",https://www.moma.org/media/W1siZiIsIjQ3NTU4NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=94cc88429567ee46
19634.0,Plate (folio 6) from 10 Origin,Print,1942,1940–1959 (Абстрактный экспрессионизм),Абстрактный экспрессионизм,"Linoleum cut from a portfolio of six linoleum cuts, three woodcuts, and one lithograph",https://www.moma.org/media/W1siZiIsIjQ3NTU4NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=34d86979d18abbd6
19635.0,Plate (folio 8) from 10 Origin,Print,1942,1940–1959 (Абстрактный экспрессионизм),Абстрактный экспрессионизм,"Linoleum cut from a portfolio of six linoleum cuts, three woodcuts, and one lithograph",https://www.moma.org/media/W1siZiIsIjQ3NTQ0MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=ee88004851f635b2
19636.0,Plate (folio 10) from 10 Origin,Print,1942,1940–1959 (Абстрактный экспрессионизм),Абстрактный экспрессионизм,"Lithograph from a portfolio of six linoleum cuts, three woodcuts, and one lithograph",https://www.moma.org/media/W1siZiIsIjQ3NTU4NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=fd1548ba47c70527
19637.0,Plate (folio 12) from 10 Origin,Print,1942,1940–1959 (Абстрактный экспрессионизм),Абстрактный экспрессионизм,"Woodcut from a portfolio of six linoleum cuts, three woodcuts, and one lithograph",https://www.moma.org/media/W1siZiIsIjQ3NTU1MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=1a07a8f624ebb785
